SiteID,CompanyCode,ARSubledgerCode,PartNumber,WarehouseCode,TransactionDate,LineNumber,TransactionType,ReferenceNumber,ReferenceDescription,Quantity,AllocationType,AllocationCompany,AllocationAccount,Notes,APSubledgerCode,SupplierCode,PurchaseOrderNumber,UnitCost,InventoryCost,ETLUserID,ETLDateCreated,ETLDateModified
ADVDAS,AB,AR,1234,MAIN,2017-01-06 00:00:00,01,RA,IN0002,Recv/Adj Parts,5,,,,,,,,0,2,GJSYSTEM,2017-01-06 15:11:26,2017-01-06 15:11:26
ADVDAS,AB,AR,1234,MAIN,2017-01-06 00:00:00,02,PW,SJ0002,17-0000009 1054510 ONTARIO LTD,-1,W,AB,17-0000009,,,,,0,2,MARK,2017-01-06 15:11:45,2017-01-06 15:11:45
ADVDAS,AB,AR,1234,MAIN,2017-01-06 00:00:00,03,PW,SJ0003,17-0000010 1054510 ONTARIO LTD,-1,W,AB,17-0000010,,,,,0,2,MARK,2017-01-06 15:22:49,2017-01-06 15:22:49
ADVDAS,AB,AR,1234,SOAP,2017-01-06 00:00:00,01,RA,IN0002,Recv/Adj Parts,-5,,,,,,,,0,2,GJSYSTEM,2017-01-06 15:11:26,2017-01-06 15:11:26
ADVDAS,AD,AR,002627-001-24,MAIN,2016-11-25 00:00:00,01,RP,IN0007,000011 FASTENAL CANADA COMPANY,1,,,,,AP,FASTEN,000011,1717.204,1717.204,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,002627-001-24,MAIN,2016-11-25 00:00:00,02,RA,IN0008,Recv/Adj Parts,-1,,,,sdkfljewriohtergjk,,,,0,1717.204,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,002627-001-24,SOAP,2016-11-25 00:00:00,01,RA,IN0008,Recv/Adj Parts,1,,,,sdkfljewriohtergjk,,,,0,1717.204,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,0091048,MAIN,2016-11-24 00:00:00,01,RP,IN0001,000001 LON ADAIR,1,,,,,AP,ADAIR,000001,1677.5,1677.5,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,0091048,MAIN,2016-11-25 00:00:00,01,PW,SJ0003,16-0000007 FELIX ALBRECHT,-1,W,AD,16-0000007,,,,,0,1677.5,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-11-24 00:00:00,01,RP,IN0003,000007 ALLIANCE MERCANTILE INC,1,,,,,AP,ALL-ME,000007,0.97,0.97,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-11-24 00:00:00,02,RP,IN0003,000007 ALLIANCE MERCANTILE INC,22,,,,,AP,ALL-ME,000007,0.97,0.97,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-11-24 00:00:00,03,IR,IN0003,000007 ALLIANCE MERCANTILE INC,-22,,,,,AP,ALL-ME,000007,0.97,0.97,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-11-24 00:00:00,04,RP,IN0005,000007 ALLIANCE MERCANTILE INC,3,,,,,AP,ALL-ME,000007,0.97,0.97,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-11-24 00:00:00,05,IR,IN0005,000007 ALLIANCE MERCANTILE INC,-3,,,,,AP,ALL-ME,000007,0.97,0.97,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-12-07 00:00:00,01,RP,IN0010,000013 AGRI-PLASTICS,1,,,,,AP,AGR-PL,000013,0.97,0.97,MARJ,2016-12-07 10:55:34,2016-12-07 10:55:34
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-12-07 00:00:00,02,IR,IN0010,000013 AGRI-PLASTICS,-1,W,AD,16-0000010,,AP,AGR-PL,000013,0.97,0.97,MARJ,2016-12-07 10:55:34,2016-12-07 10:55:34
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-12-07 00:00:00,03,PW,SJ0004,16-0000010 JOHN & SARAH ALBREC,-1,W,AD,16-0000010,,,,,0,0.97,MARJ,2016-12-07 11:02:27,2016-12-07 11:02:27
ADVDAS,AD,AR,"1 1/4,SXFIPT,90",MAIN,2016-12-08 00:00:00,01,RA,IN0011,Recv/Adj Parts,20,,,,,,,,0,0.97,LUKE,2016-12-08 09:19:18,2016-12-08 09:19:18
ADVDAS,AD,AR,1.5ROLLONBEVEL,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,3,,,,,,,,0,0,LUKE,2016-12-08 16:39:28,2016-12-08 16:39:28
ADVDAS,AD,AR,1/2X3/8 PEX BV,MAIN,2016-11-24 00:00:00,01,RP,IN0006,000010 LON ADAIR,100,,,,,AP,ADAIR,000010,2.73,2.73,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-11-24 00:00:00,01,RP,IN0002,000006 AGRONOMA INTERNATIONAL,50,,,,,AP,AGRONO,000006,88.16,88.16,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-11-24 00:00:00,02,IR,IN0002,000006 AGRONOMA INTERNATIONAL,-50,W,AD,0000000002,,AP,AGRONO,000006,88.16,88.16,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-12-07 00:00:00,01,RP,IN0010,000013 AGRI-PLASTICS,1,,,,,AP,AGR-PL,000013,88.16,88.16,MARJ,2016-12-07 10:55:34,2016-12-07 10:55:34
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-12-07 00:00:00,02,IR,IN0010,000013 AGRI-PLASTICS,-1,W,AD,16-0000010,,AP,AGR-PL,000013,88.16,88.16,MARJ,2016-12-07 10:55:34,2016-12-07 10:55:34
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-12-08 00:00:00,01,RA,IN0011,Recv/Adj Parts,20,,,,,,,,0,88.16,LUKE,2016-12-08 09:19:18,2016-12-08 09:19:18
ADVDAS,AD,AR,"1/4""AIRVALVE",MAIN,2016-12-08 00:00:00,02,CA,,* Inventory Upload,5,,,,,,,,0,88.16,LUKE,2016-12-08 16:39:30,2016-12-08 16:39:30
ADVDAS,AD,AR,1050017-0011,MAIN,2016-11-24 00:00:00,01,RP,IN0001,000001 LON ADAIR,1,,,,,AP,ADAIR,000001,1.12,1.12,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1050017-0011,MAIN,2016-11-24 00:00:00,02,RP,IN0001,000001 LON ADAIR,1,,,,,AP,ADAIR,000001,1.12,1.12,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1050017-0031,MAIN,2016-11-24 00:00:00,01,RP,IN0001,000001 LON ADAIR,1,,,,,AP,ADAIR,000001,1.12,1.12,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1050017-0041,MAIN,2016-11-24 00:00:00,01,RP,IN0004,000004 ALBRECHT'S CHAIN SAW SE,1,,,,,AP,ALBREC,000004,1.12,1.12,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1-1/4MIPTXS90,MAIN,2016-11-25 00:00:00,01,RP,IN0009,000012 ADVANCED COMFORT TECHNO,1,,,,,AP,ADVCOM,000012,1.28,1.28,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1-1/4MIPTXS90,MAIN,2016-11-25 00:00:00,02,IR,IN0009,000012 ADVANCED COMFORT TECHNO,-1,W,AD,16-0000007,,AP,ADVCOM,000012,1.28,1.28,GJSYSTEM,2016-12-01 04:11:29,2016-12-01 04:11:29
ADVDAS,AD,AR,1-1/4-PLYINSRT,MAIN,2016-12-08 00:00:00,01,CA,,Inventory Upload,1,,,,,,,,0,0.38,LUKE,2016-12-08 16:39:22,2016-12-08 16:39:22
